"filename", "language", "Python", "comment", "blank", "total"
"/home/harryfoster/git/comp16321-labs_r49769hf/game_solution.py", "Python", 329, 22, 4, 355
"/home/harryfoster/git/comp16321-labs_r49769hf/src/animate.py", "Python", 16, 6, -1, 21
"/home/harryfoster/git/comp16321-labs_r49769hf/src/game.py", "Python", 53, 15, 4, 72
"/home/harryfoster/git/comp16321-labs_r49769hf/src/gameImage.py", "Python", 24, 2, 2, 28
"/home/harryfoster/git/comp16321-labs_r49769hf/src/leaderboard.py", "Python", 0, 0, 2, 2
"/home/harryfoster/git/comp16321-labs_r49769hf/src/maze.py", "Python", 33, 5, 0, 38
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/ghosts/Blinky.py", "Python", 4, 0, 2, 6
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/ghosts/Clyde.py", "Python", 5, 0, 2, 7
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/ghosts/Ghost.py", "Python", 68, 11, -1, 78
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/ghosts/Inky.py", "Python", 4, 0, 1, 5
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/ghosts/Pinky.py", "Python", 4, 2, 1, 7
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/ghosts/ghost_state.py", "Python", 8, 0, 2, 10
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/map_objects/moveable.py", "Python", 14, 2, 2, 18
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/map_objects/wall.py", "Python", 2, 0, 2, 4
"/home/harryfoster/git/comp16321-labs_r49769hf/src/objects/pacman.py", "Python", 33, 6, 6, 45
"/home/harryfoster/git/comp16321-labs_r49769hf/src/player.py", "Python", 3, 0, 2, 5
"/home/harryfoster/git/comp16321-labs_r49769hf/src/settings.py", "Python", 2, 0, 1, 3
"/home/harryfoster/git/comp16321-labs_r49769hf/util temp programs/pickleTest.py", "Python", -6, 0, -1, -7
"Total", "-", 596, 71, 30, 697
